mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2021-01,Chaco,Córdoba,43,114,previaje 1
2021-01,Chaco,Entre Ríos,5,14,previaje 1
2021-01,Chaco,Mendoza,33,87,previaje 1
2021-01,Chaco,Misiones,22,78,previaje 1
2021-01,Chaco,Neuquén,14,49,previaje 1
2021-01,Chaco,Río Negro,125,384,previaje 1
2021-01,Chaco,Salta,16,58,previaje 1
2021-01,Chaco,Santa Cruz,33,87,previaje 1
2021-01,Chaco,Santiago del Estero,3,6,previaje 1
2021-01,Chaco,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",52,146,previaje 1
2021-01,Chaco,Tucumán,4,29,previaje 1
2021-01,Chubut,Buenos Aires,42,111,previaje 1
2021-01,Chubut,Chubut,111,383,previaje 1
2021-01,Chubut,Ciudad Autónoma de Buenos Aires,43,79,previaje 1
2021-01,Chubut,Córdoba,55,139,previaje 1
2021-01,Chubut,Corrientes,9,22,previaje 1
2021-01,Chubut,Entre Ríos,3,3,previaje 1
2021-01,Chubut,Mendoza,10,24,previaje 1
2021-01,Chubut,Misiones,9,27,previaje 1
2021-01,Chubut,Neuquén,43,117,previaje 1
2021-01,Chubut,Río Negro,74,248,previaje 1
2021-01,Chubut,Salta,17,36,previaje 1
2021-01,Chubut,Santa Cruz,13,33,previaje 1
2021-01,Chubut,Santa Fe,3,4,previaje 1
2021-01,Chubut,Santiago del Estero,3,13,previaje 1
2021-01,Chubut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",12,36,previaje 1
2021-01,Chubut,Tucumán,6,11,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Buenos Aires,4607,15146,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Catamarca,20,47,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Chaco,20,29,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Chubut,418,1030,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,186,519,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Córdoba,994,2959,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Corrientes,23,51,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Entre Ríos,254,869,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Jujuy,134,292,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,La Pampa,11,21,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,La Rioja,32,89,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Mendoza,979,2505,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Misiones,510,1342,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Neuquén,1094,3423,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Río Negro,4534,13655,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Salta,495,1198,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,San Juan,50,105,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,San Luis,212,588,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Santa Cruz,856,2222,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Santa Fe,31,66,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Santiago del Estero,48,141,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",859,2152,previaje 1
2021-01,Ciudad Autónoma de Buenos Aires,Tucumán,83,204,previaje 1
2021-01,Córdoba,Buenos Aires,521,1601,previaje 1
2021-01,Córdoba,Chaco,6,19,previaje 1
2021-01,Córdoba,Chubut,59,157,previaje 1
2021-01,Córdoba,Ciudad Autónoma de Buenos Aires,62,115,previaje 1
2021-01,Córdoba,Córdoba,1643,5992,previaje 1
2021-01,Córdoba,Corrientes,7,30,previaje 1
2021-01,Córdoba,Entre Ríos,38,114,previaje 1
2021-01,Córdoba,Jujuy,38,80,previaje 1
2021-01,Córdoba,La Pampa,7,27,previaje 1
2021-01,Córdoba,La Rioja,3,10,previaje 1
2021-01,Córdoba,Mendoza,142,452,previaje 1
2021-01,Córdoba,Misiones,202,599,previaje 1
2021-01,Córdoba,Neuquén,181,625,previaje 1
2021-01,Córdoba,Río Negro,809,2360,previaje 1
2021-01,Córdoba,Salta,101,241,previaje 1
2021-01,Córdoba,San Juan,3,14,previaje 1
2021-01,Córdoba,San Luis,59,182,previaje 1
2021-01,Córdoba,Santa Cruz,343,956,previaje 1
2021-01,Córdoba,Santa Fe,18,58,previaje 1
2021-01,Córdoba,Santiago del Estero,32,108,previaje 1
2021-01,Córdoba,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",374,963,previaje 1
2021-01,Córdoba,Tucumán,7,21,previaje 1
2021-01,Corrientes,Buenos Aires,9,19,previaje 1
2021-01,Corrientes,Ciudad Autónoma de Buenos Aires,5,7,previaje 1
2021-01,Corrientes,Córdoba,7,29,previaje 1
2021-01,Corrientes,Corrientes,15,46,previaje 1
2021-01,Corrientes,Mendoza,9,34,previaje 1
2021-01,Corrientes,Misiones,8,24,previaje 1
2021-01,Corrientes,Neuquén,7,23,previaje 1
2021-01,Corrientes,Río Negro,26,94,previaje 1
2021-01,Corrientes,Santa Cruz,8,19,previaje 1
2021-01,Corrientes,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",8,24,previaje 1
2021-01,Entre Ríos,Buenos Aires,93,282,previaje 1
2021-01,Entre Ríos,Chubut,15,25,previaje 1
2021-01,Entre Ríos,Ciudad Autónoma de Buenos Aires,6,10,previaje 1
2021-01,Entre Ríos,Córdoba,98,349,previaje 1
2021-01,Entre Ríos,Corrientes,4,15,previaje 1
2021-01,Entre Ríos,Entre Ríos,94,345,previaje 1
2021-01,Entre Ríos,Jujuy,9,26,previaje 1
2021-01,Entre Ríos,Mendoza,52,127,previaje 1
2021-01,Entre Ríos,Misiones,21,66,previaje 1
2021-01,Entre Ríos,Neuquén,21,65,previaje 1
2021-01,Entre Ríos,Río Negro,141,408,previaje 1
2021-01,Entre Ríos,Salta,11,33,previaje 1
2021-01,Entre Ríos,San Luis,18,38,previaje 1
2021-01,Entre Ríos,Santa Cruz,35,113,previaje 1
2021-01,Entre Ríos,Santa Fe,5,13,previaje 1
2021-01,Entre Ríos,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,151,previaje 1
2021-01,Jujuy,Buenos Aires,49,145,previaje 1
2021-01,Jujuy,Chubut,3,8,previaje 1
2021-01,Jujuy,Ciudad Autónoma de Buenos Aires,23,51,previaje 1
2021-01,Jujuy,Córdoba,29,66,previaje 1
2021-01,Jujuy,Corrientes,3,14,previaje 1
2021-01,Jujuy,Jujuy,26,91,previaje 1
2021-01,Jujuy,Mendoza,3,5,previaje 1
2021-01,Jujuy,Misiones,16,42,previaje 1
2021-01,Jujuy,Río Negro,10,27,previaje 1
2021-01,Jujuy,Salta,20,54,previaje 1
2021-01,Jujuy,San Juan,5,15,previaje 1
2021-01,Jujuy,Santa Cruz,14,54,previaje 1
2021-01,Jujuy,Santiago del Estero,8,29,previaje 1
2021-01,Jujuy,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",6,10,previaje 1
2021-01,La Pampa,Buenos Aires,12,39,previaje 1
2021-01,La Pampa,Ciudad Autónoma de Buenos Aires,3,4,previaje 1
2021-01,La Pampa,Córdoba,10,34,previaje 1
2021-01,La Pampa,Mendoza,5,26,previaje 1
2021-01,La Pampa,Neuquén,9,26,previaje 1
2021-01,La Pampa,Río Negro,6,23,previaje 1
2021-01,La Pampa,Santa Cruz,3,4,previaje 1
2021-01,La Pampa,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",4,8,previaje 1
2021-01,La Rioja,Buenos Aires,45,136,previaje 1
2021-01,La Rioja,Ciudad Autónoma de Buenos Aires,14,34,previaje 1
2021-01,La Rioja,Córdoba,41,150,previaje 1
2021-01,La Rioja,La Rioja,12,36,previaje 1
2021-01,La Rioja,Mendoza,4,20,previaje 1
2021-01,La Rioja,Misiones,8,36,previaje 1
2021-01,La Rioja,Neuquén,6,19,previaje 1
2021-01,La Rioja,Río Negro,4,14,previaje 1
2021-01,Mendoza,Buenos Aires,421,1249,previaje 1
2021-01,Mendoza,Chubut,18,53,previaje 1
2021-01,Mendoza,Ciudad Autónoma de Buenos Aires,37,82,previaje 1
2021-01,Mendoza,Córdoba,143,495,previaje 1
2021-01,Mendoza,Corrientes,3,6,previaje 1
2021-01,Mendoza,Entre Ríos,4,9,previaje 1
2021-01,Mendoza,Jujuy,4,14,previaje 1
2021-01,Mendoza,Mendoza,342,1139,previaje 1
2021-01,Mendoza,Misiones,31,86,previaje 1
2021-01,Mendoza,Neuquén,196,729,previaje 1
2021-01,Mendoza,Río Negro,321,965,previaje 1
2021-01,Mendoza,Salta,25,63,previaje 1
2021-01,Mendoza,San Juan,20,50,previaje 1
2021-01,Mendoza,San Luis,64,244,previaje 1
2021-01,Mendoza,Santa Cruz,80,210,previaje 1
2021-01,Mendoza,Santa Fe,6,16,previaje 1
2021-01,Mendoza,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",88,223,previaje 1
2021-01,Mendoza,Tucumán,5,12,previaje 1
2021-01,Misiones,Buenos Aires,26,91,previaje 1
2021-01,Misiones,Ciudad Autónoma de Buenos Aires,17,29,previaje 1
2021-01,Misiones,Córdoba,16,35,previaje 1
2021-01,Misiones,Corrientes,15,38,previaje 1
2021-01,Misiones,Mendoza,18,50,previaje 1
2021-01,Misiones,Misiones,142,442,previaje 1
2021-01,Misiones,Neuquén,8,21,previaje 1
2021-01,Misiones,Río Negro,40,122,previaje 1
2021-01,Misiones,Santa Cruz,23,52,previaje 1
2021-01,Misiones,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",14,30,previaje 1
2021-01,Neuquén,Buenos Aires,77,213,previaje 1
2021-01,Neuquén,Chubut,19,61,previaje 1
2021-01,Neuquén,Ciudad Autónoma de Buenos Aires,35,80,previaje 1
2021-01,Neuquén,Córdoba,24,53,previaje 1
2021-01,Neuquén,Jujuy,3,4,previaje 1
2021-01,Neuquén,Mendoza,20,47,previaje 1
2021-01,Neuquén,Misiones,6,15,previaje 1
2021-01,Neuquén,Neuquén,196,697,previaje 1
2021-01,Neuquén,Río Negro,134,452,previaje 1
2021-01,Neuquén,Salta,25,65,previaje 1
2021-01,Neuquén,Santa Cruz,22,66,previaje 1
2021-01,Neuquén,Santa Fe,16,38,previaje 1
2021-01,Neuquén,Santiago del Estero,3,10,previaje 1
2021-01,Neuquén,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",29,67,previaje 1
2021-01,Neuquén,Tucumán,6,12,previaje 1
2021-01,Río Negro,Buenos Aires,92,272,previaje 1
2021-01,Río Negro,Chubut,35,101,previaje 1
2021-01,Río Negro,Ciudad Autónoma de Buenos Aires,53,98,previaje 1
2021-01,Río Negro,Córdoba,26,63,previaje 1
2021-01,Río Negro,Corrientes,4,6,previaje 1
2021-01,Río Negro,Mendoza,19,55,previaje 1
2021-01,Río Negro,Misiones,6,16,previaje 1
2021-01,Río Negro,Neuquén,127,439,previaje 1
2021-01,Río Negro,Río Negro,340,1104,previaje 1
2021-01,Río Negro,Salta,9,23,previaje 1
2021-01,Río Negro,Santa Cruz,27,65,previaje 1
2021-01,Río Negro,Santa Fe,8,24,previaje 1
2021-01,Río Negro,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",19,46,previaje 1
2021-01,Río Negro,Tucumán,6,12,previaje 1
2021-01,Salta,Buenos Aires,119,338,previaje 1
2021-01,Salta,Chubut,11,22,previaje 1
2021-01,Salta,Ciudad Autónoma de Buenos Aires,51,102,previaje 1
2021-01,Salta,Córdoba,58,169,previaje 1
2021-01,Salta,Corrientes,18,61,previaje 1
2021-01,Salta,Jujuy,26,70,previaje 1
2021-01,Salta,Mendoza,29,69,previaje 1
2021-01,Salta,Misiones,100,276,previaje 1
2021-01,Salta,Neuquén,44,181,previaje 1
2021-01,Salta,Río Negro,112,336,previaje 1
2021-01,Salta,Salta,212,684,previaje 1
2021-01,Salta,Santa Cruz,24,82,previaje 1
2021-01,Salta,Santa Fe,5,10,previaje 1
2021-01,Salta,Santiago del Estero,26,100,previaje 1
2021-01,Salta,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",51,125,previaje 1
2021-01,Salta,Tucumán,5,22,previaje 1
2021-01,San Juan,Buenos Aires,59,139,previaje 1
2021-01,San Juan,Chubut,4,13,previaje 1
2021-01,San Juan,Ciudad Autónoma de Buenos Aires,3,3,previaje 1
2021-01,San Juan,Córdoba,11,37,previaje 1
2021-01,San Juan,La Rioja,3,11,previaje 1
2021-01,San Juan,Mendoza,3,6,previaje 1
2021-01,San Juan,Misiones,5,12,previaje 1
2021-01,San Juan,Neuquén,9,26,previaje 1
2021-01,San Juan,Río Negro,21,61,previaje 1
2021-01,San Juan,San Juan,13,60,previaje 1
2021-01,San Juan,Santa Cruz,5,16,previaje 1
2021-01,San Juan,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",8,21,previaje 1
2021-01,San Luis,Buenos Aires,15,55,previaje 1
2021-01,San Luis,Ciudad Autónoma de Buenos Aires,13,19,previaje 1
2021-01,San Luis,Córdoba,22,67,previaje 1
2021-01,San Luis,Mendoza,6,13,previaje 1
2021-01,San Luis,Misiones,7,22,previaje 1
2021-01,San Luis,Neuquén,5,13,previaje 1
2021-01,San Luis,Río Negro,14,45,previaje 1
2021-01,San Luis,San Luis,61,229,previaje 1
2021-01,San Luis,Santa Cruz,7,19,previaje 1
2021-01,San Luis,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",4,11,previaje 1
2021-01,Santa Cruz,Buenos Aires,48,102,previaje 1
2021-01,Santa Cruz,Chubut,9,47,previaje 1
2021-01,Santa Cruz,Ciudad Autónoma de Buenos Aires,25,51,previaje 1
2021-01,Santa Cruz,Córdoba,15,43,previaje 1
2021-01,Santa Cruz,Corrientes,3,4,previaje 1
2021-01,Santa Cruz,Jujuy,6,12,previaje 1
2021-01,Santa Cruz,Mendoza,10,21,previaje 1
2021-01,Santa Cruz,Misiones,9,27,previaje 1
2021-01,Santa Cruz,Neuquén,8,30,previaje 1
2021-01,Santa Cruz,Río Negro,22,67,previaje 1
2021-01,Santa Cruz,Salta,8,21,previaje 1
2021-01,Santa Cruz,Santa Cruz,51,150,previaje 1
2021-01,Santa Cruz,Santiago del Estero,3,6,previaje 1
2021-01,Santa Cruz,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",26,63,previaje 1
2021-01,Santa Cruz,Tucumán,5,13,previaje 1
2021-01,Santa Fe,Buenos Aires,1019,3449,previaje 1
2021-01,Santa Fe,Catamarca,3,5,previaje 1
2021-01,Santa Fe,Chubut,109,244,previaje 1
2021-01,Santa Fe,Ciudad Autónoma de Buenos Aires,31,68,previaje 1
2021-01,Santa Fe,Córdoba,1193,4063,previaje 1
2021-01,Santa Fe,Corrientes,17,50,previaje 1
2021-01,Santa Fe,Entre Ríos,116,422,previaje 1
2021-01,Santa Fe,Jujuy,18,58,previaje 1
2021-01,Santa Fe,La Pampa,4,16,previaje 1
2021-01,Santa Fe,La Rioja,3,9,previaje 1
2021-01,Santa Fe,Mendoza,221,674,previaje 1
2021-01,Santa Fe,Misiones,116,320,previaje 1
2021-01,Santa Fe,Neuquén,307,1049,previaje 1
2021-01,Santa Fe,Río Negro,1030,3008,previaje 1
2021-01,Santa Fe,Salta,125,326,previaje 1
2021-01,Santa Fe,San Juan,6,23,previaje 1
2021-01,Santa Fe,San Luis,81,255,previaje 1
2021-01,Santa Fe,Santa Cruz,273,767,previaje 1
2021-01,Santa Fe,Santa Fe,105,357,previaje 1
2021-01,Santa Fe,Santiago del Estero,7,20,previaje 1
2021-01,Santa Fe,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",294,765,previaje 1
2021-01,Santa Fe,Tucumán,6,17,previaje 1
2021-01,Santiago del Estero,Buenos Aires,19,50,previaje 1
2021-01,Santiago del Estero,Córdoba,18,55,previaje 1
2021-01,Santiago del Estero,Mendoza,3,15,previaje 1
2021-01,Santiago del Estero,Neuquén,3,5,previaje 1
2021-01,Santiago del Estero,Río Negro,8,23,previaje 1
2021-01,Santiago del Estero,Salta,5,11,previaje 1
2021-01,Santiago del Estero,San Luis,12,33,previaje 1
2021-01,Santiago del Estero,Santa Cruz,4,18,previaje 1
2021-01,Santiago del Estero,Santiago del Estero,4,11,previaje 1
2021-01,Santiago del Estero,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",5,16,previaje 1
2021-01,Santiago del Estero,Tucumán,6,23,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Buenos Aires,104,274,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Chaco,18,47,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Chubut,17,49,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ciudad Autónoma de Buenos Aires,56,108,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Córdoba,55,134,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Entre Ríos,13,35,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Jujuy,6,18,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Mendoza,15,44,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Misiones,21,47,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Neuquén,8,20,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Negro,11,29,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Salta,25,63,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",San Juan,4,6,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Santa Cruz,36,97,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Santa Fe,12,31,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",39,115,previaje 1
2021-01,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tucumán,18,47,previaje 1
2021-01,Tucumán,Buenos Aires,257,818,previaje 1
2021-01,Tucumán,Chubut,16,35,previaje 1
2021-01,Tucumán,Ciudad Autónoma de Buenos Aires,58,118,previaje 1
2021-01,Tucumán,Córdoba,101,287,previaje 1
2021-01,Tucumán,Entre Ríos,3,15,previaje 1
2021-01,Tucumán,Jujuy,25,68,previaje 1
2021-01,Tucumán,Mendoza,13,27,previaje 1
2021-01,Tucumán,Misiones,21,55,previaje 1
2021-01,Tucumán,Neuquén,15,46,previaje 1
2021-01,Tucumán,Río Negro,170,558,previaje 1
2021-01,Tucumán,Salta,91,326,previaje 1
2021-01,Tucumán,Santa Cruz,39,88,previaje 1
2021-01,Tucumán,Santa Fe,3,4,previaje 1
2021-01,Tucumán,Santiago del Estero,6,20,previaje 1
2021-01,Tucumán,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,109,previaje 1
2021-01,Tucumán,Tucumán,93,361,previaje 1
2021-02,Buenos Aires,Buenos Aires,3365,10599,previaje 1
2021-02,Buenos Aires,Catamarca,16,35,previaje 1
2021-02,Buenos Aires,Chaco,10,27,previaje 1
2021-02,Buenos Aires,Chubut,264,704,previaje 1
2021-02,Buenos Aires,Ciudad Autónoma de Buenos Aires,85,190,previaje 1
2021-02,Buenos Aires,Córdoba,1430,4313,previaje 1
2021-02,Buenos Aires,Corrientes,37,113,previaje 1
2021-02,Buenos Aires,Entre Ríos,337,1129,previaje 1
2021-02,Buenos Aires,Formosa,4,7,previaje 1
2021-02,Buenos Aires,Jujuy,241,626,previaje 1
2021-02,Buenos Aires,La Pampa,13,37,previaje 1
2021-02,Buenos Aires,La Rioja,5,8,previaje 1
2021-02,Buenos Aires,Mendoza,1620,4333,previaje 1
2021-02,Buenos Aires,Misiones,953,2692,previaje 1
2021-02,Buenos Aires,Neuquén,872,2646,previaje 1
2021-02,Buenos Aires,Río Negro,2960,8186,previaje 1
2021-02,Buenos Aires,Salta,633,1641,previaje 1
2021-02,Buenos Aires,San Juan,40,95,previaje 1
2021-02,Buenos Aires,San Luis,461,1322,previaje 1
2021-02,Buenos Aires,Santa Cruz,972,2516,previaje 1
2021-02,Buenos Aires,Santa Fe,47,129,previaje 1
2021-02,Buenos Aires,Santiago del Estero,57,183,previaje 1
2021-02,Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",968,2641,previaje 1
2021-02,Buenos Aires,Tucumán,83,215,previaje 1
2021-02,Catamarca,Buenos Aires,6,19,previaje 1
2021-02,Catamarca,Catamarca,3,6,previaje 1
2021-02,Catamarca,Córdoba,7,28,previaje 1
2021-02,Catamarca,Río Negro,8,29,previaje 1
2021-02,Catamarca,Salta,3,8,previaje 1
2021-02,Catamarca,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,9,previaje 1
2021-02,Chaco,Buenos Aires,19,53,previaje 1
2021-02,Chaco,Chaco,3,6,previaje 1
2021-02,Chaco,Ciudad Autónoma de Buenos Aires,20,43,previaje 1
2021-02,Chaco,Córdoba,45,146,previaje 1
2021-02,Chaco,Corrientes,11,31,previaje 1
2021-02,Chaco,Entre Ríos,14,55,previaje 1
2021-02,Chaco,Jujuy,4,11,previaje 1
2021-02,Chaco,Mendoza,30,94,previaje 1
2021-02,Chaco,Misiones,28,84,previaje 1
2021-02,Chaco,Neuquén,15,82,previaje 1
2021-02,Chaco,Río Negro,51,136,previaje 1
2021-02,Chaco,Salta,7,21,previaje 1
2021-02,Chaco,San Luis,8,26,previaje 1
2021-02,Chaco,Santa Cruz,23,82,previaje 1
2021-02,Chaco,Santiago del Estero,3,14,previaje 1
2021-02,Chaco,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45,109,previaje 1
2021-02,Chubut,Buenos Aires,37,98,previaje 1
2021-02,Chubut,Chubut,69,251,previaje 1
2021-02,Chubut,Ciudad Autónoma de Buenos Aires,30,54,previaje 1
2021-02,Chubut,Córdoba,17,35,previaje 1
2021-02,Chubut,Entre Ríos,4,15,previaje 1
2021-02,Chubut,Jujuy,3,3,previaje 1
2021-02,Chubut,Mendoza,10,27,previaje 1
2021-02,Chubut,Misiones,17,43,previaje 1
2021-02,Chubut,Neuquén,25,72,previaje 1
2021-02,Chubut,Río Negro,27,96,previaje 1
2021-02,Chubut,Salta,16,40,previaje 1
2021-02,Chubut,San Luis,3,8,previaje 1
2021-02,Chubut,Santa Cruz,10,26,previaje 1
2021-02,Chubut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",23,59,previaje 1
2021-02,Chubut,Tucumán,3,5,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Buenos Aires,2640,8308,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Catamarca,21,38,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Chaco,7,14,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Chubut,292,719,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,168,428,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Córdoba,834,2418,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Corrientes,33,68,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Entre Ríos,210,707,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Jujuy,178,369,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,La Pampa,8,24,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,La Rioja,18,40,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Mendoza,1338,3499,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Misiones,706,1782,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Neuquén,776,2069,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Río Negro,3019,7853,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Salta,550,1307,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,San Juan,58,114,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,San Luis,199,572,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Santa Cruz,1038,2688,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Santa Fe,28,68,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Santiago del Estero,55,165,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1003,2535,previaje 1
2021-02,Ciudad Autónoma de Buenos Aires,Tucumán,109,231,previaje 1
2021-02,Córdoba,Buenos Aires,315,998,previaje 1
2021-02,Córdoba,Catamarca,3,7,previaje 1
2021-02,Córdoba,Chubut,38,111,previaje 1
2021-02,Córdoba,Ciudad Autónoma de Buenos Aires,62,120,previaje 1
2021-02,Córdoba,Córdoba,1092,3784,previaje 1
2021-02,Córdoba,Corrientes,11,22,previaje 1
2021-02,Córdoba,Entre Ríos,29,71,previaje 1
2021-02,Córdoba,Jujuy,34,73,previaje 1
2021-02,Córdoba,La Pampa,4,8,previaje 1
2021-02,Córdoba,La Rioja,4,8,previaje 1
2021-02,Córdoba,Mendoza,136,350,previaje 1
2021-02,Córdoba,Misiones,203,598,previaje 1
2021-02,Córdoba,Neuquén,105,318,previaje 1
2021-02,Córdoba,Río Negro,524,1420,previaje 1
